symbol,timeframe,side,setup,status,signal_ts,signal_time_utc,age_bars,score,grade,last_price,ema200,atr14,trigger,stop,target_1r,target_2r,target_3r,structure_target,structure_target_r,risk_pct,quote_volume_24h,touch_count,cross_count,ema_slope_atr,distance_from_ema_atr,volume_ratio,trigger_ts,trigger_time_utc,invalidation_ts,invalidation_time_utc,current_r,no_chase,reasons,warnings,score_components,is_recent,state_change
USD1USDT,4H,SHORT,EMA_REJECTION,TRIGGERED,1787601600000,2026-08-24T20:00+00:00,11,52.94007514157465,D,0.9997,1.0000077409519688,0.00020410249576855404,0.99994,1.0000900000000001,0.99979,0.9996399999999999,0.9994899999999998,0.99988,0.400000000000148,0.015000900054012691,157894887.47753,3,4,0.006300707355727565,-0.037926787419287136,0.45497104177314024,1787616000000.0,2026-08-25T00:00+00:00,,,1.599999999999112,True,EMA sweep/touch closed back on the defended side; 1D regime aligns,EMA slope opposes the setup; repeated EMA chop; weak signal-candle volume; less than 1.25R to nearby structure; DO NOT CHASE: price is already at least 0.75R beyond trigger,"{'valid_setup': 45.0, 'confirmation': 4.0, 'close_quality': 3.296703296710803, 'rejection_wick': 7.0, 'range': 0.7189803331325806, 'ema_slope': -0.07560848826873078, 'touch_freshness': 2.0, 'cleanliness': -6.0, 'volume_impulse': -3.0, 'liquidity': 3.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
XLMUSDT,1D,LONG,EMA_REJECTION,INVALIDATED,1787443200000,2026-08-23T00:00+00:00,2,66.82995965991775,C,0.1815,0.19123172003098735,0.011053963074113674,0.20220000000000002,0.18760000000000002,0.21680000000000002,0.23140000000000002,0.24600000000000002,0.2078,0.383561643835616,7.220573689416419,12756605.9177,1,1,-0.16445550416194782,0.7660854222359201,4.235632372071309,,,1787616000000.0,2026-08-25T00:00+00:00,-1.4178082191780836,False,EMA sweep/touch closed back on the defended side; first EMA test episode; volume expansion; 4H regime aligns,EMA slope opposes the setup; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'close_quality': 9.523809523809497, 'rejection_wick': 7.0, 'range': 3.2796161860516233, 'ema_slope': -1.9734660499433738, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
ONGUSDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1786924800000,2026-08-17T00:00+00:00,8,64.72029439042062,C,0.20037,0.06329220803694112,0.003967087743945668,0.05195,0.06461,0.039290000000000005,0.026630000000000008,0.01397000000000001,0.04583,0.4834123222748816,24.369586140519726,57592732.72027,1,0,-0.46452491824640074,-2.052439613761322,94.51600473918684,,,1787184000000.0,2026-08-20T00:00+00:00,-11.72353870458136,False,EMA sweep/touch closed back on the defended side; EMA slope supports direction; first EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'close_quality': 7.075045207956608, 'rejection_wick': 7.0, 'range': 5.0, 'ema_slope': 4.645249182464007, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
MUBUSDT,4H,LONG,EMA_REJECTION,INVALIDATED,1787558400000,2026-08-24T08:00+00:00,14,61.39150549292731,C,967.77,935.1826639888179,13.735090220069376,942.63,927.47,957.79,972.9499999999999,988.1099999999999,969.13,1.7480211081794232,1.6082662338351175,8596504.5852,2,2,0.15772670576164083,0.2757416187662272,1.3403239990526286,,,1787572800000.0,2026-08-24T12:00+00:00,1.6583113456464407,False,EMA sweep/touch closed back on the defended side; EMA slope supports direction; second EMA test episode,,"{'valid_setup': 45.0, 'close_quality': 7.397622192866615, 'rejection_wick': 5.907823279025398, 'range': 2.5087929634188937, 'ema_slope': 1.5772670576164083, 'touch_freshness': 5.0, 'cleanliness': 3.0, 'volume_impulse': 3.0}",False,NEW
ONTUSDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1787270400000,2026-08-21T00:00+00:00,4,60.37865116276676,C,0.06509,0.054615177623377434,0.004127556555503689,0.04744,0.05668,0.038200000000000005,0.028960000000000007,0.01972000000000001,0.04435,0.3344155844155847,19.477234401349065,13575953.94511,1,0,-0.3738737930662644,-1.0599921683795142,35.709195005906736,1787356800000.0,2026-08-22T00:00+00:00,1787616000000.0,2026-08-25T00:00+00:00,-1.9101731601731597,False,EMA sweep/touch closed back on the defended side; EMA slope supports direction; first EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'close_quality': 5.639913232104117, 'rejection_wick': 7.0, 'range': 5.0, 'ema_slope': 3.738737930662644, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
PORTALUSDT,1D,SHORT,EMA_ACCEPTANCE,INVALIDATED,1787011200000,2026-08-18T00:00+00:00,7,58.08994411222609,C,0.01595,0.014297919061049439,0.0020165714627887266,0.01016,0.01584,0.004480000000000001,-0.001199999999999998,-0.006879999999999999,,,55.905511811023615,13115012.476934,1,2,-0.09866573210932947,-0.18740672870913924,3.8468760619745823,1787356800000.0,2026-08-22T00:00+00:00,1787529600000.0,2026-08-24T00:00+00:00,-1.0193661971830985,False,decisive body displacement through the EMA; first EMA test episode; volume expansion,4H regime conflicts,"{'valid_setup': 45.0, 'body_displacement': 6.314347677877156, 'body_quality': 5.617647058823527, 'ema_displacement': 1.1712920544321201, 'ema_slope': 0.9866573210932946, 'touch_freshness': 8.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'mtf_alignment': -5.0}",False,NEW
USD1USDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1787270400000,2026-08-21T00:00+00:00,4,55.89034252015959,C,0.9997,0.9999767242458503,0.0004263387672929752,0.9997100000000001,1.0002,0.9992200000000002,0.9987300000000003,0.9982400000000005,0.99958,0.26530612244919693,0.04901421412208334,157894887.47753,2,3,-0.003760933043505718,-0.1799607535984008,5.511621979697533,1787356800000.0,2026-08-22T00:00+00:00,1787443200000.0,2026-08-23T00:00+00:00,0.020408163265444843,False,EMA sweep/touch closed back on the defended side; second EMA test episode; volume expansion; 4H regime aligns,less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'close_quality': 3.3434650455919854, 'rejection_wick': 7.0, 'range': 2.509268144132548, 'ema_slope': 0.037609330435057174, 'touch_freshness': 5.0, 'volume_impulse': 5.0, 'liquidity': 3.0, 'structure_room': -8.0, 'mtf_alignment': 5.0}",False,NEW
EURIUSDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1786320000000,2026-08-10T00:00+00:00,15,53.9256767212606,D,1.1649,1.1571174701753144,0.0048061071071757114,1.1544,1.1577,1.1511000000000002,1.1478000000000004,1.1445000000000005,1.1509,1.0606060606061238,0.2858627858627736,13529163.76902,2,0,-0.05757599046736741,-0.4821927858940734,21.8491255815059,1786406400000.0,2026-08-11T00:00+00:00,1786665600000.0,2026-08-14T00:00+00:00,-3.1818181818183042,False,EMA sweep/touch closed back on the defended side; second EMA test episode; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'close_quality': 10.0, 'rejection_wick': 7.0, 'range': 0.34991681658692364, 'ema_slope': 0.5757599046736741, 'touch_freshness': 5.0, 'cleanliness': 6.0, 'volume_impulse': 5.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
BMTUSDT,1D,SHORT,EMA_REJECTION,INVALIDATED,1786752000000,2026-08-15T00:00+00:00,10,52.2342672742418,D,0.02141,0.01814269636160181,0.004304597284246936,0.014830000000000001,0.020390000000000002,0.00927,0.0037099999999999998,-0.0018499999999999992,0.01266,0.39028776978417296,37.49157113958193,29761457.745324,3,2,-0.0015051430758041514,-0.737048358324385,26.84772073620997,1786838400000.0,2026-08-16T00:00+00:00,1787616000000.0,2026-08-25T00:00+00:00,-1.1834532374100712,False,EMA sweep/touch closed back on the defended side; volume expansion,less than 1.25R to nearby structure; 4H regime conflicts,"{'valid_setup': 45.0, 'close_quality': 10.0, 'rejection_wick': 7.0, 'range': 3.219215843483761, 'ema_slope': 0.015051430758041513, 'touch_freshness': 2.0, 'cleanliness': 3.0, 'volume_impulse': 5.0, 'liquidity': 2.0, 'structure_room': -8.0, 'mtf_alignment': -5.0}",False,NEW
SKHYBUSDT,4H,SHORT,EMA_REJECTION,INVALIDATED,1787601600000,2026-08-24T20:00+00:00,11,51.205336086147035,D,164.06,156.30728845852667,3.436934167524044,153.38,156.67000000000002,150.08999999999997,146.79999999999995,143.50999999999993,151.58,0.5471124620060704,2.1449993480245277,5149388.60379,1,1,0.14361773165947558,-0.7469705072576726,0.8906588942651906,1787616000000.0,2026-08-25T00:00+00:00,1787630400000.0,2026-08-25T04:00+00:00,-3.2462006079027175,False,EMA sweep/touch closed back on the defended side; first EMA test episode,EMA slope opposes the setup; less than 1.25R to nearby structure,"{'valid_setup': 45.0, 'close_quality': 10.0, 'rejection_wick': 2.828282828282701, 'range': 1.1004660377780424, 'ema_slope': -1.7234127799137071, 'touch_freshness': 8.0, 'cleanliness': 6.0, 'structure_room': -8.0}",False,NEW
